year,forecast_percent_hard_coral_cover,lower_95,upper_95
2021,21.55218358015018,14.728714293089014,28.37565286721135
2022,21.34461280098018,13.491818576411664,29.197407025548696
2023,20.648193572874703,11.195748321890047,30.10063882385936
2024,20.15500246243928,9.634834530248064,30.6751703946305
2025,19.541081853857253,7.9276502847136445,31.154513423000864
2026,18.958074703861516,6.400113448085428,31.516035959637605
2027,18.33499769486984,4.875129654580318,31.794865735159362
2028,17.705077766553778,3.410486059377801,31.999669473729753
2029,17.052761552889574,1.9649493817636152,32.14057372401553
2030,16.385329507541037,0.5460275518662314,32.22463146321584
